company_name;founded;industry;location;about;stage;amount;Table
Captain Fresh;2019;Logistics & Supply Chain;Bangalore;A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.;Series C;46500000;2022
CityMall;2019;Manufacturing;Gurgaon;CityMall is a community commerce platform focused on 300 million new to internet users living in small cities, towns, and villages in India.;Series C;69750000;2022
Kogta Financial;1996;Financial Services;Jaipur;Kogta Financial (I) Ltd is a retail focused Non Banking Finance Company with more than 25 years of experience in Asset Finance Business (AFCs).;Series D;103230000;2022
CommerceIQ;2012;Software Development;Bangalore;Leading consumer brands trust CommerceIQ to simplify Amazon;Series D;106950000;2022
HackerRank;2012;Software Development;Bangalore;HackerRank is a technology hiring platform that is the standard for assessing developer skills for over 2800 companies around the world.;Series D;55800000;2022
Money View;2014;Financial Services;Bangalore;Money View is a leading online credit platform that offers a full suite of personalized credit products like instant personal loans, cards, BNPL, and personal financial management solutions.;Series D;69750000;2022
Classplus;2018;EdTech;Noida;Classplus, a B2B edtech startup that helps educators and content creators launch and scale their online coaching businesses;Series D;65100000;2022
OSlash;2020;Software Development;Bangalore;OSlash is an enterprise URL manager that helps teams navigate, manage, and share information by internally naming all important links.;Post-seed;4650000;2022
Licious;2015;Food & Beverages;Bangalore;The company is built with a vision to emerge as India’s most loved meat food brand by offering premium quality products.;Series F2;139500000;2022
Pi Beam Electric;2013;Motor Vehicle Manufacturing;Chennai;An end to end micromobility EV solutions company with data driven analytics. IIT Madras Incubated StartUp.;Pre-series A;1581000;2022
Lobb;2015;Transportation/Trucking/Railroad;Bangalore;Lobb is the new way to match logistics Demand & Supply;Pre-series A;1023000;2022
Black Bow;2016;Wine & Spirits;New Delhi;Black Bow is India's 1st Himalayan whisky by Ginglani Distillers, a homegrown alcobev startup with an aim to disrupt the Indian spirit scene by creating world-class local products.;Pre-series A;744000;2022
Growfitter;2016;Health, Wellness & Fitness;Mumbai;Growfitter is a gamified digital health reward platform that adds financial benefits to your physical activity!;Pre-series A;930000;2022
MedisimVR;2017;Hospitals and Health Care;Chennai;MediSim VR was established to make comprehensive Virtual Reality medical simulation more accessible and affordable.;Pre-series A;372000;2022
Pocketly;2019;Financial Services;Bangalore;Pocketly provides quick cash on hand, anytime - anywhere! For college students, and salaried people.;Pre-series A;2790000;2022
Gamerji;2019;Sports;Ahmedabad;An eSports tournament platform where gamers can compete, communicate and share content to win cash prizes;Pre-series A;930000;2022
SuperK;2019;Retail;Small Towns, Andhra;SuperK is a full-stack solution to empower small format retail stores in India.;Pre-series A;5115000;2022
Junio;2020;Financial Services;New Delhi;The startup’s goal is to nurture discipline and awareness in children about how to manage money in a fun and practical way.;Pre-series A;5580000;2022
CARD91;2020;Financial Services;Bangalore;Card91 offers plug & play payment infrastructure as a service for the businesses who want to issue, control, view and approve payments.;Pre-series A;12090000;2022
Seekho.ai;2021;E-Learning Providers;Gurgaon;Seekho is India's first micro-learning based platform to learn, mentor and hire.;Pre-series A;2790000;2022
Glip;2020;Software;Delaware;Glip is a creator tool suite for gamers to create and monetise.;Seed;2790000;2022
Limechat;2020;Software;Faridabad;Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.;Seed;4650000;2022
Myraah;2020;Web design;Pune;Myraah uses AI to help SMEs create web presence in English and several Indian languages;Preseed;325500;2022
Leaf Round;2022;Financial services;Bengaluru;Leaf Round is a marketplace for leasing that provides investors options to buy assets and rent to businesses.;Preseed;279000;2022
Mamaearth;2016;Health, Wellness;Gurgaon;Mamaearth is a personal care brand that specializes in baby and toddler products.;Unknown;103;2022
Whitehar Jr;2018;Information technology;Maharastra;Whitehar Jr - leading and best computer programming learning websites teaching kids to code.;Unknown;10;2022
Stockal;2016;Finance;Newyork;Stockal is the platform for cross-border savings and investments.;Series A;13764000;2022
Securden;2018;Artificial Intelligence;Delaware;Securden is a Windows Privilege Management Software;Series A;10;2022
Spyne;2018;Software;Gurgaon;Spyne is a Deep Tech startup helping businesses and marketplaces create and upgrade high-quality product images and videos at scale with AI.;Series A;6510000;2022
Securden;2018;Artificial Intelligence;Delaware;Securden is a Windows Privilege Management Software;Series A;10881000;2022
Mesh;2020;Enterprise Software;San Jose;Mesh is a social performance management platform for today's workforce.;Series A;14973000;2022
Last9;2020;Software;Santa Clara;Last9 is a Site Reliability Engineering platform that helps improve production systems.;Series A;12090000;2022
Wooden Street;2015;Home decor;Jaipur;Wooden Street is a online furniture platform that provides custom made & ready to order furniture.;Series B;31;2022
Skillmatics;2016;Education;Mumbai;Skillmatics provides education products and learning games for children in pre-school and primary school who are under the age of ten;Series B;21;2022
Doubtnut;2016;Education;Gurgaon;Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.;Series B;46;2022
Allegis Group;1983;Human resources;Maryland;A Global Network of Staffing Services.;Series C;55800000;2022
FreshMenu;2014;Food processing;Banglore;FreshMenu offers food delivery service that provides fresh and tasty cuisines of the highest standard.;Series C;30;2022
CoinSwitch Kuber;2017;Financial services;Bangalore;CoinSwitch Kuber is a cryptocurrency exchange platform allowing its users to buy and sell cryptocurrencies.;Series C;279558000;2022
CoinDCX;2018;Currency exchange;Mumba;CoinDCX operates as a cryptocurrency exchange aggregator.;Series C;101370000;2022
Digits;2018;Accounting;San Francisco;Digits is a fintech company building tools for businesses and finance professionals by leveraging its proprietary Living Model technology.;Series C;90675000;2022
Slice;2010;Food &bevrages;Newyork;Slice is a provider of tools for pizzerias to manage the digital side of their businesses.;Series D;116250000;2022
